肖申克的救赎  score:9.6
 site: http://movie.douban.com/subject/1295865/

碧海蓝天  score:8.8
 site: http://movie.douban.com/subject/1300960/

卢旺达饭店  score:8.8
 site: http://movie.douban.com/subject/1291822/

超脱  score:8.8
 site: http://movie.douban.com/subject/5322596/

穿条纹睡衣的男孩  score:8.8
 site: http://movie.douban.com/subject/3008247/

再见我们的幼儿园  score:8.8
 site: http://movie.douban.com/subject/5960606/

魂断蓝桥  score:8.8
 site: http://movie.douban.com/subject/1293964/

玩具总动员3  score:8.8
 site: http://movie.douban.com/subject/1858711/

跳出我天地  score:8.8
 site: http://movie.douban.com/subject/1301169/

疯狂约会美丽都  score:8.8
 site: http://movie.douban.com/subject/1291565/

梦之安魂曲  score:8.8
 site: http://movie.douban.com/subject/1292270/

第六感  score:8.8
 site: http://movie.douban.com/subject/1297630/

刺猬的优雅  score:8.8
 site: http://movie.douban.com/subject/3824274/

寿司之神  score:8.8
 site: http://movie.douban.com/subject/6146955/

相助  score:8.8
 site: http://movie.douban.com/subject/3792848/

上帝也疯狂2  score:8.8
 site: http://movie.douban.com/subject/1294490/

风之谷  score:8.8
 site: http://movie.douban.com/subject/1291585/

迷墙  score:8.8
 site: http://movie.douban.com/subject/1296157/

惊魂记  score:8.8
 site: http://movie.douban.com/subject/1293181/

让子弹飞  score:8.7
 site: http://movie.douban.com/subject/3742360/

七宗罪  score:8.7
 site: http://movie.douban.com/subject/1292223/

剪刀手爱德华  score:8.7
 site: http://movie.douban.com/subject/1292370/

低俗小说  score:8.7
 site: http://movie.douban.com/subject/1291832/

阳光灿烂的日子  score:8.7
 site: http://movie.douban.com/subject/1291875/

沉默的羔羊  score:8.7
 site: http://movie.douban.com/subject/1293544/

射雕英雄传之东成西就  score:8.7
 site: http://movie.douban.com/subject/1316510/

黑客帝国  score:8.7
 site: http://movie.douban.com/subject/1291843/

心灵捕手  score:8.7
 site: http://movie.douban.com/subject/1292656/

菊次郎的夏天  score:8.7
 site: http://movie.douban.com/subject/1293359/

爱在黎明破晓前  score:8.7
 site: http://movie.douban.com/subject/1296339/

爱在日落黄昏时  score:8.7
 site: http://movie.douban.com/subject/1291990/

春光乍泄  score:8.7
 site: http://movie.douban.com/subject/1292679/

海盗电台  score:8.7
 site: http://movie.douban.com/subject/3007773/

穿越时空的少女  score:8.7
 site: http://movie.douban.com/subject/1937946/

借东西的小人阿莉埃蒂  score:8.7
 site: http://movie.douban.com/subject/4202302/

荒野生存  score:8.7
 site: http://movie.douban.com/subject/1905462/

燕尾蝶  score:8.7
 site: http://movie.douban.com/subject/1307793/

浪潮  score:8.7
 site: http://movie.douban.com/subject/2297265/

纵横四海  score:8.7
 site: http://movie.douban.com/subject/1295409/

英雄本色  score:8.7
 site: http://movie.douban.com/subject/1297574/

巴黎淘气帮  score:8.7
 site: http://movie.douban.com/subject/3157605/

教父3  score:8.7
 site: http://movie.douban.com/subject/1294240/

一次别离  score:8.7
 site: http://movie.douban.com/subject/5964718/

罗生门  score:8.7
 site: http://movie.douban.com/subject/1291879/

叫我第一名  score:8.7
 site: http://movie.douban.com/subject/4798888/

喜宴  score:8.7
 site: http://movie.douban.com/subject/1303037/

绿里奇迹  score:8.7
 site: http://movie.douban.com/subject/1300374/

就是这样  score:8.7
 site: http://movie.douban.com/subject/3920977/

中央车站  score:8.7
 site: http://movie.douban.com/subject/1292218/

上帝也疯狂  score:8.7
 site: http://movie.douban.com/subject/1297478/

红辣椒  score:8.7
 site: http://movie.douban.com/subject/1865703/

我在伊朗长大  score:8.7
 site: http://movie.douban.com/subject/1962116/

再见列宁  score:8.7
 site: http://movie.douban.com/subject/1292055/

幽灵公主  score:8.7
